dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback_nao_acum;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;rd_acum;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;69994429397.94914;0.371151768996846;1.15;29.001720262610398;3.4480713245456;1016852.0;3303519.0;1747597.0;3872111.0;-2124514.0;-0.6431063360010946;-0.17164674597240775;20.54473287362632;5.897692767570955;5.655089136787709;15.342516534272335;19.495653556534304;17.567529777145133;70961.0;9.110166499555154;-3866.0;404453.0;-5237.0;-976395.0;2958636.0;116245.0;-3175368.0;116754.0;496568.0;2462068.0;42117.0;142400;464500;506617.0;6872523.0;808260.0;916732.0;0.5736104741463037;0.138091902664219;40215.0;1766877.7981945677
2021-06-30;126585586212.58607;0.2745565145526532;1.21;24.92453204698799;4.01211143348565;1392717.0;4077123.0;1501736.0;3822227.0;-2320491.0;-0.5691491279512538;-0.18831771533246502;30.47862309098501;2.935734915932381;10.2729587787994;20.048011501327544;25.250748384239095;21.98470205583079;749831.0;65.06684739079539;0.0;122440.0;-204896.0;96580.0;2555339.0;-116511.0;-2071565.0;146044.0;518938.0;2036401.0;37918.0;166300;532600;570518.0;6583411.0;1862452.0;1747836.0;0.7628287345754773;0.18029800594361672;527529.0;1582096.7728195474
2021-09-30;149641790345.13934;0.19827709036974425;1.16;30.734279237944506;3.25369595381759;1144011.0;4488911.0;1635209.0;2942361.0;-1307152.0;-0.29119579336725543;-0.09948056937365428;33.0446824062984;3.1305162025514943;11.388461713425418;13.426901784909045;26.006280778692354;22.30107774757883;86882.0;10.439637024291304;1660384.0;98797.0;-213747.0;-812592.0;2200736.0;-377524.0;-2411106.0;263249.0;674768.0;1525968.0;176536.0;149300;605900;782436.0;7209712.0;3039278.0;2538722.0;1.007944813018592;0.18229534097228636;372586.0;1090566.0501451213
2022-03-31;132851189398.84769;0.22716458473109;1.07;29.58079186555381;3.380572110932832;1232938.0;4786518.0;3078716.0;3264759.0;-186043.0;-0.03886812919119911;-0.014549008346698122;27.7164206629637;3.046548297292008;10.389281313635063;13.96407730049885;29.06811209719119;22.113925282464795;154275.0;16.18016910649598;5896.0;-136941.0;-311023.0;593445.0;488749.0;-734903.0;-1098962.0;200454.0;726501.0;-237752.0;211766.0;157300;615300;827066.0;7123227.0;1560115.0;4599393.0;1.5466139543739024;0.17293633527981042;564852.0;-729361.7827023761
2022-06-30;100936992544.43335;0.22064566002416097;0.92;26.139101774796195;3.8256861640296242;1256662.0;5026328.0;2853828.0;3072450.0;-218622.0;-0.04349537077564377;-0.01584131182426232;20.03816116744338;3.287992715008962;7.313876798765034;12.888219481039446;28.000179120686987;22.04068322591643;735311.0;79.39694640003455;2130.0;197194.0;-210794.0;-208126.0;281490.0;-940460.0;-330693.0;208522.0;818269.0;-536779.0;291983.0;146500;619400;911383.0;7156467.0;2772451.0;5003469.0;1.6113325140712487;0.17088481805697056;142083.0;-987047.2412466267
2022-09-30;123458532747.05415;0.2797510220954195;0.93;31.627603756484163;3.1617950183626666;1568104.0;5201715.0;3835041.0;4142927.0;-307886.0;-0.059189325059139146;-0.02154868986546819;23.675008482212917;3.404059927508023;8.6407619489422;14.842314533637916;27.19806281137313;21.047435786300507;185118.0;15.765403626627059;1878524.0;1101853.0;-323348.0;278444.0;1260903.0;-1058912.0;-148829.0;353350.0;1025575.0;235328.0;483877.0;193900;647000;1130877.0;8758513.0;3508165.0;4684991.0;1.5247061216924518;0.18685059763715184;1316530.0;-775290.0491489042
2023-03-31;157095910978.5809;0.3154254694618923;1.04;35.98816211407001;2.7786914953599084;1689125.0;5746829.0;3439139.0;5655326.0;-2216187.0;-0.385636496231226;-0.144845708873319;26.950466766730123;3.6452632388802866;10.267485815408342;17.202624634606597;28.61211023632237;22.63321989717104;223377.0;16.87212647693515;-2832.0;2315342.0;-340989.0;-1290815.0;3477448.0;-1186154.0;-627052.0;331874.0;1094200.0;2383248.0;531540.0;223400;721100;1252640.0;9054360.0;-283403.0;3224762.0;1.0556561656738606;0.17598794050666552;3254178.0;1157163.581828231
2023-06-30;146481649120.0445;0.3358780537171013;1.15;30.346842226774797;3.2952357695974945;1833098.0;6346989.0;2782722.0;5480459.0;-2697737.0;-0.4250420159858478;-0.17041363699733736;22.653877629226155;3.7715805682445698;9.253114955206755;17.252863123005067;30.536274764895637;25.336968379237472;853918.0;60.5707103271629;0.0;858952.0;-440972.0;-519671.0;4473341.0;-1316103.0;-1740168.0;429063.0;1322809.0;3150532.0;742674.0;204300;768100;1510774.0;9512585.0;1020026.0;2968076.0;0.949707296303333;0.17899840142561388;1619687.0;1755158.820639954
2023-09-30;141510975793.2809;0.32065523761633274;1.25;26.971694946289062;3.7075905017885664;1738770.0;6829097.0;2848572.0;5723310.0;-2874738.0;-0.42095433700824575;-0.17317921007058706;20.300815436254737;3.9548556978312606;8.524866963249643;16.667729639619967;31.64994827945684;26.21270514391471;250974.0;18.647410044788142;-317.0;1950453.0;-495078.0;-1227458.0;6226600.0;-1600387.0;-2759500.0;458929.0;1573216.0;4653384.0;970701.0;216700;838300;1809001.0;9620171.0;1062201.0;1797915.0;0.7075240768773119;0.16641820302256488;3035118.0;3194830.6963450145
2024-03-31;150805457948.21494;0.3281271518279659;1.3;27.637695899376503;3.618246628231262;1769880.0;7030873.0;2685099.0;6530196.0;-3845097.0;-0.5468875628958167;-0.21400687231364146;20.902149839460183;4.280630156819488;8.393391475773916;17.1443032655057;30.37136741542879;25.40453553157487;242343.0;17.596100646649056;-0.0;1578370.0;-386203.0;-1798110.0;6703117.0;-1663242.0;-4836054.0;334447.0;1554313.0;5148804.0;927422.0;272800;917200;1844622.0;9796094.0;479973.0;1542174.0;0.6455205759450099;0.17815084028573833;2324984.0;3648748.384680382
2024-06-30;166557088833.88257;0.3602450423628827;1.34;29.61327567029355;3.3768638469237175;2120814.0;7462562.0;4180977.0;7230764.0;-3049787.0;-0.40867827965784403;-0.15248394444416946;21.910344173205203;4.765116440910656;8.327559229719435;16.30357501369896;28.223979459928145;22.653346007387572;1050206.0;69.4551748174514;0.0;1500446.0;-2244536.0;1196550.0;5888221.0;-3566789.0;-2348689.0;373299.0;1595738.0;4292483.0;930255.0;255400;949200;1879455.0;10800402.0;1389198.0;2734802.0;0.8423311155373322;0.22718725770748927;2470231.0;2693257.521062103
2024-09-30;216122840866.11957;0.3956140565930978;1.4;36.77907126290458;2.7189376068030335;2224599.0;7854063.0;3027026.0;6111003.0;-3083977.0;-0.39266007924815477;-0.15066904345109725;27.124669596630376;4.87657856987561;10.558775795419987;16.846190017485153;28.80383179053564;24.260421440171484;293933.0;17.70128357536624;-7417.0;1591467.0;-433387.0;-2275961.0;6620736.0;-3559204.0;-4104979.0;470190.0;1636865.0;4983871.0;911449.0;270800;1015700;1927149.0;10423228.0;2265720.0;2307895.0;0.7429737518082934;0.20063217010247492;2589132.0;3505462.342098764
2025-03-31;181621986592.20715;0.3900538393279012;1.47;29.4360284091664;3.3971974279267894;2172994.0;8288287.0;3235284.0;5657674.0;-2422390.0;-0.2922666649936229;-0.10897535214245599;21.620824253818327;5.295950416573607;8.17057531846573;16.244167948015647;27.83334386022306;23.502647180702287;338616.0;20.682881540209387;-0.0;540543.0;-701840.0;-2002963.0;5210826.0;-3765966.0;-4880484.0;596011.0;1773947.0;3436879.0;976525.0;312200;1111200;2087725.0;10404846.0;2167257.0;4432977.0;1.089556406127527;0.17459629239371008;630652.0;1742054.8351138653
2025-06-30;171982744873.31998;0.4032722802529007;1.55;26.435121105563255;3.782846297570207;2259539.0;8777946.0;2584148.0;5668597.0;-3084449.0;-0.3513861898899811;-0.13324834731733312;19.241209261633642;5.514979329903038;7.429662971074715;16.582975963991004;28.09049909102777;24.73586279018524;1113995.0;65.81319838219326;0.0;1426302.0;-619784.0;-732611.0;5058758.0;-3999547.0;-3814985.0;526979.0;1966479.0;3092279.0;1097993.0;361600;1200000;2297993.0;11043165.0;3315490.0;5101237.0;1.162468957670572;0.1659438050214986;-501974.0;1374701.2509872206
2025-09-30;148248453822.0682;0.41568306257266335;1.6;22.074878215789795;4.530036316507136;2275499.0;8932631.0;3850855.0;7335311.0;-3484456.0;-0.3900817127674926;-0.1488030120894312;16.206199251045767;5.578936123295369;6.330921230265126;16.98632393524543;28.76217263084101;24.166576938107536;462514.0;26.508837348990173;-4261.0;2271486.0;-721517.0;-23761.0;5829798.0;-2476528.0;-5035296.0;754236.0;2347416.0;3482382.0;1429800.0;394300;1338900;2768700.0;11721344.0;3488523.0;4365045.0;1.0825758395460243;0.15725110164501696;283696.0;1899873.879869856
