dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;rd_acum;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;312696629558.48694;5.783781697099844;9.93;5.958983545216909;16.781385489857055;44326825.0;99554069.0;78667854.0;73398530.0;5269324.0;0.05292926801414817;0.026098442860262194;3.193902135315905;38.20661318420717;1.5487556125090705;43.56199536847746;25.148487739988756;25.451216921821086;21866000;72.4304058113393;0;38309574.0;-13121128.0;-27465099.0;78692134.0;-26877295.0;-44408932.0;5540502.0;5074794.0;73617340.0;-11110587.0;552000;2028000;-9082587.0;64644998.0;-2104378.0;10891465.0;0.025331443826535547;0.2478884357852385;47014498.0;73594107.39546491
2021-06-30;368604842095.84045;7.587263746590484;17.33;4.024952020661651;24.84501665775416;43290560.0;131146806.0;69343450.0;68274694.0;1068756.0;0.008149310170771525;0.005043049684115522;2.818776982611688;40.103617881363405;1.7393048857689501;45.34243077504193;42.453488809607535;34.932788204881135;11076768;27.808797595413765;10407302;40673869.0;-15808415.0;-22748358.0;111631737.0;-37961779.0;-89668504.0;6032834.0;6108930.0;105522807.0;-702791.0;743000;2342000;1639209.0;55369767.0;6954349.0;16355426.0;0.18314135160651912;0.21666576366903245;46535382.0;98068414.35276985
2021-09-30;266041993406.08978;3.936368500239067;20.26;2.558499568777282;39.08540819015672;34430326.0;147855729.0;73895677.0;59057151.0;14838526.0;0.10035814033286461;0.08000595596754018;1.8996931759478173;36.136246414486;1.434437895648411;31.0503455931618;56.973389882890004;43.68454291499923;40215878;195.4676980823684;25260819;47299014.0;-4211734.0;-55939514.0;151901951.0;-38554806.0;-144687690.0;-8439336.0;-7531909.0;159433860.0;-18775655.0;708000;2566000;-16209655.0;21293886.0;-10098643.0;-7326581.0;-0.20773058770900552;0.0;104007945.0;162714219.0
2022-03-31;337419486464.84375;4.610085136346179;21.92;3.0792361628400147;32.47558638301028;39110000.0;161157711.0;66403000.0;43135000.0;23268000.0;0.1443803083055703;0.12759307088686725;2.238102565659075;36.47920400716938;1.8502831551968004;40.838167104497614;62.38068665997664;46.38208784229229;17849000;77.05823943357942;9176000;13775000.0;-3553000.0;-27120000.0;140057457.0;-36694277.0;-133272971.0;5964000.0;9098000.0;130959457.0;-6639080.0;631000;2634000;-4005080.0;22727000.0;3673000.0;-6425643.0;-0.09040169779781042;0.32176434408224236;119064261.0;147056606.26254284
2022-06-30;270217998012.6953;6.007753488669825;22.14;2.441462419435799;40.959057654923534;14603000.0;131433886.0;66042000.0;37886000.0;28156000.0;0.21422177230611594;0.14534679634103534;2.2701451436404714;38.7506401229036;1.394918323797184;55.089678757230686;58.773702223874125;39.06043240246691;35000;0.11556876341423147;21928000;17611000.0;-5581000.0;-19272000.0;119358883.0;-29154149.0;-125079872.0;6373000.0;9930498.0;109428385.0;4446919.0;745000;2827000;7273919.0;20456000.0;1397000.0;-6597265.0;0.006668999348902933;0.1768655516243165;107328935.0;124413890.57639112
2022-09-30;255665493555.8853;4.8726806586217;19.43;2.7534194294472547;36.31847692019623;29545000.0;117688326.0;65977000.0;28240000.0;37737000.0;0.32065202456869;0.20127902883415294;2.4930467067386557;39.23213115014808;1.3636511182482176;44.60061443932412;51.870636207503495;29.413684837629162;16259000;69.9974169106251;25564000;16828000.0;-5315000.0;-21617000.0;95513014.0;-18660734.0;-123948514.0;-15351000.0;-11453336.0;106966350.0;-36937416.0;888000;2972000;-33965416.0;5017000.0;-1582000.0;-18634992.0;-0.7055456314938533;0.15254113612317122;143704470.0;145451622.0032106
2023-03-31;277526036029.41895;2.097595355107406;17.59;3.4759781725234506;28.7688803084178;18080000.0;101338000.0;65964000.0;24172000.0;41792000.0;0.4124020604314275;0.2116297087762119;3.1510197164875855;43.50665244622888;1.4053587811715742;22.202960698889168;43.75699448543375;24.501880876553003;9449000;97.07211834805835;4116000;18974000.0;-6894000.0;-12444000.0;67188000.0;-21343000.0;-80453000.0;5872000.0;2858000.0;64330000.0;-12203000.0;723000;2987000;-9216000.0;7780000.0;-4071000.0;-5653000.0;-0.23035570428208466;0.181810540472388;97154000.0;101465657.5607296
2023-06-30;221979317992.15317;1.007489082964622;13.99;3.495698319408534;28.60658754354976;14287000.0;76515000.0;67165000.0;24238000.0;42927000.0;0.56102724955891;0.22114324572158628;3.462148833459494;42.76574149367912;1.1435513048628805;9.950165417312283;35.03044602656171;17.40706294803639;0;0.0;10714000;9236000.0;-5264000.0;-3051000.0;62649000.0;-23054000.0;-56384000.0;5974000.0;2868000.0;59781000.0;-8681000.0;816000;3172000;-5509000.0;9594000.0;-1028000.0;-6283000.0;-0.25927310305402257;0.6478434859937751;80102000.0;70725439.75100043
2023-09-30;240640543926.2619;3.054412562042755;11.03;4.806538613839033;20.804992539138045;24083000.0;85995000.0;70289000.0;20168000.0;50121000.0;0.58283621140764;0.25356281018075855;3.3811447633730087;43.54851182207915;1.2174037341906432;26.87733343597244;26.144981205765248;16.763199928346445;8277000;59.26535872834025;13374000;14086000.0;-8272000.0;-10498000.0;59124000.0;-25745000.0;-47610000.0;-11500000.0;-15005000.0;74129000.0;-40380000.0;917000;3344000;-37036000.0;5152000.0;-123000.0;-3102000.0;-0.8935838639298277;0.042243862295981344;99241000.0;103405018.5159786
2024-03-31;233276448472.65625;1.8266105721778856;7.99;6.432253726582055;15.5466504044668;16266000.0;72716000.0;73312000.0;19156000.0;54156000.0;0.7447604378678695;0.27795684575745755;3.9528088518710636;42.924797665040465;1.197296436349834;19.889713781003078;18.87946786014905;16.546086489550547;11722000;140.68650984157466;1357000;17822000.0;-7518000.0;-9261000.0;60118000.0;-27948000.0;-35254000.0;6906000.0;7252000.0;52866000.0;-7360000.0;772000;3228000;-4132000.0;9246000.0;-6927000.0;-7050000.0;-0.2520284890010819;0.2100123257798426;60813000.0;69841383.14212573
2024-06-30;238606939759.27734;3.2147993570401288;9.1;5.7767121870439135;17.310884939755407;26216000.0;80852000.0;84111000.0;36356000.0;47755000.0;0.5906471082966408;0.22388024715666696;3.5418040340285626;46.993968726206255;1.1186133524573962;28.193679327341258;19.519375920039757;17.840271403450377;0;0.0;1942000;6125000.0;6398000.0;2241000.0;47269000.0;-14656000.0;-20569000.0;6956000.0;8336000.0;38933000.0;-8120000.0;988000;3493000;-4627000.0;6049000.0;-401000.0;3547000.0;-0.020354315868827744;0.0;57518000.0;68969000.0
2024-09-30;252451153105.46875;2.949102535179493;11.04;5.0378744153008945;19.849641288453466;20246000.0;86811000.0;77281000.0;25329000.0;51952000.0;0.5984495052470309;0.24021158149771588;3.5065043958192943;47.64829672034065;1.1672638346625088;25.050020763335723;23.19027538885498;21.439447875540356;8940000;67.36493105267124;2054000;9146000.0;-7445000.0;-12766000.0;47179000.0;-16837000.0;-30284000.0;-27949000.0;-25587000.0;72766000.0;-44996000.0;1066000;3743000;-41253000.0;-7482000.0;2883000.0;3788000.0;-0.5952778175000397;0.12356359793950601;94732000.0;106482976.22506934
2025-03-31;236268124048.82812;1.798630890273822;9.79;5.316936738400952;18.807822044930823;14991000.0;77719000.0;92994000.0;22959000.0;70035000.0;0.9011309975681622;0.33555005102603047;3.9411614154689087;45.98295486590903;1.1320022999986974;17.238615511168295;21.254617496418597;17.912837118964838;11365000;139.05542640401322;0;9726000.0;-8036000.0;-7672000.0;42819000.0;-16601000.0;-27458000.0;7360000.0;-6727000.0;49546000.0;-22657000.0;719000;3545000;-19112000.0;8346000.0;1504000.0;4387000.0;-0.2724581367379036;0.32275439177991383;69255000.0;76545495.69108385
2025-06-30;219391839368.16406;2.661594780181044;10.62;4.551295192452699;21.97176754560494;4692000.0;66145000.0;97383000.0;31087000.0;66296000.0;1.0022828634061531;0.30002941642341546;4.319114662758547;48.68134182623164;0.9928804985774401;24.46844821009095;21.821102889597903;17.18779448904972;0;0.0;0;10566000.0;-11374000.0;8979000.0;35563000.0;-20457000.0;-9218000.0;6714000.0;-6919000.0;42482000.0;-13018000.0;898000;3671000;-9347000.0;17002000.0;1473000.0;11283000.0;0.03538205676480801;0.0;61736000.0;61781000.0
2025-09-30;248354400568.11142;3.2203078779125036;10.63;5.147279396667193;19.42773886817741;30927000.0;70856000.0;98622000.0;32393000.0;66229000.0;0.9346985435248956;0.29470082275411263;4.439756697641857;49.51149006820214;1.1051087315530492;25.874323204176292;21.493060654198537;15.476797946529356;8091000;55.149614886510804;0;13728000.0;-6786000.0;-5264000.0;43166000.0;-33641000.0;-16723000.0;-19406000.0;-33281000.0;76447000.0;-48970000.0;821000;3504000;-45466000.0;16822000.0;3006000.0;6290000.0;-0.7828154660805275;0.0;102767000.0;97847000.0
